Url of Pages Being Spidered,Level Away from Home,Status,Internal Pages that link here,Link text,Internal links on that page,External links on page,Size of page,Title Tag of Page,Meta Description,Meta Keywords
http://www.theyoungfirm.com/html/html/choice.html,2,404,48,Choice of Doctor,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/html/treatment.html,2,404,48,Right to Medical Treatment,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/html/maintenance.html,2,404,48,Maintenance and Cure,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/html/improper.html,2,404,48,Improper Medical Treatment,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/html/right.html,2,404,48,Your Right to Medical Expenses,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/html/contact.html,2,404,48,Contact,1,1,1262,404 Not Found Title,-,-
http://www.theyoungfirm.com/html/,2,403,48,Site Map,0,0,207,403 Forbidden,-,-
http://www.theyoungfirm.com/video/player/12761-c1-v7,2,301,1,Launch Video Website,1,0,150,http://www.theyoungfirm.com/video/player/12761-what-should-i-look-for-in-an-attorney,-,-
http://www.theyoungfirm.com/html/medical-malpractice.html,2,200,7,medical malpractice,85,8,25994,"Medical Malpractice Lawsuits – Attorneys in New Orleans, Louisiana",The medical malpractice attorneys in New Orleans file lawsuits for Louisiana residents who have suffered due to the negligence of a health care provider. We can help you achieve justice if you or a loved one has been harmed by medical malpractice.,"medical malpractice, attorneys, lawsuits, new orleans, louisiana, the young firm, negligence, lawyers, misdiagnosis, failure to diagnose, birth injury, surgical errors, medication errors, emergency room negligence, traumatic brain injury, spinal cord injury, wrongful death, cerebral palsy"
http://www.theyoungfirm.com/video/player/12746-c1-v2,2,301,1,Launch Video Website,1,0,138,http://www.theyoungfirm.com/video/player/12746-the-young-firm-philosophy,-,-
http://www.theyoungfirm.com/video/player/12821-c6-v2,2,301,1,Launch Video Website,1,0,120,http://www.theyoungfirm.com/video/player/12821-charles,-,-
http://www.theyoungfirm.com/video/player/12827-c6-v4,2,301,1,Launch Video Website,1,0,118,http://www.theyoungfirm.com/video/player/12827-david,-,-
http://www.theyoungfirm.com/html/employeesguide.html,2,200,1,"image file (alt text: """")",81,8,25282,"The Young Firm - New Orleans, Louisiana - The Employee’s Guide to Maritime Injury Law","If you have suffered a workplace injury offshore, you can learn more about your rights by reviewing our publication, The Employee\'s Guide to Maritime Injury Law.","young firm, maritime, admiralty lawyers, new orleans, lousiana, employees guide to maritime law"
http://www.theyoungfirm.com/html/6secrets.html,2,200,1,"image file (alt text: """")",81,8,24449,The Young Firm - FREE E-publication - Six Secrets Your Company May Not Tell You,"If you are seeking additional information regarding an offshore work injury, you should review our FREE e-publication, 6 Secrets Your Company May Not Tell You When You Get Injured Offshore.","young firm, maritime, admiralty lawyers, new orleans, lousiana, six secrets"
http://www.theyoungfirm.com/html/maintenanceandcure.html,2,200,1,"image file (alt text: """")",81,8,21820,"The Young Firm - Serving New Orleans, Louisiana - Publications",We invite you to review our publications if you are seeking more information on filing a personal injury claim for an offshore or maritime injury.,"young firm, personal injury, maritime, admiralty, lawyers, new orleans, lousiana, publications"
http://www.theyoungfirm.com/html/stcw.html,2,200,1,"image file (alt text: """")",81,8,22195,"The Young Firm - Serving New Orleans, Louisiana - Publications",We invite you to review our publications if you are seeking more information on filing a personal injury claim for an offshore or maritime injury.,"young firm, personal injury, maritime, admiralty, lawyers, new orleans, lousiana, publications"
http://www.theyoungfirm.com/html/medicalsecrets.html,2,200,1,"image file (alt text: """")",81,8,22111,"The Young Firm - Serving New Orleans, Louisiana - Publications",We invite you to review our publications if you are seeking more information on filing a personal injury claim for an offshore or maritime injury.,"young firm, personal injury, maritime, admiralty, lawyers, new orleans, lousiana, publications"
http://www.theyoungfirm.com/video/player/12767-c2-v2,2,301,5,Launch Video Website,1,0,133,http://www.theyoungfirm.com/video/player/12767-what-is-maritime-law,-,-
http://www.theyoungfirm.com/video/player/12764-c2-v1,2,301,1,Launch Video Website,1,0,134,http://www.theyoungfirm.com/video/player/12764-what-is-the-jones-act,-,-
http://www.theyoungfirm.com/video/player/12782-c2-v7,2,301,1,Launch Video Website,1,0,149,http://www.theyoungfirm.com/video/player/12782-filing-a-maritime-or-jones-act-claim,-,-
http://www.theyoungfirm.com/video/player/12773-c2-v4,2,301,1,Launch Video Website,1,0,129,http://www.theyoungfirm.com/video/player/12773-what-is-a-seaman,-,-
http://www.theyoungfirm.com/video/player/12824-c6-v3,2,301,1,Launch Video Website,1,0,122,http://www.theyoungfirm.com/video/player/12824-phillippi,-,-
http://www.theyoungfirm.com/video/player/12818-c6-v1,2,301,1,Launch Video Website,1,0,117,http://www.theyoungfirm.com/video/player/12818-mike,-,-
